No. of actors: 2
Average kernel executation time: 49.9633μs   NOTE: First kernel time has been disregarded
Total execution time: 7449795μs


Actor ID | Time to Reach Destination (ms)
-----------------------------------------
       0 |                          5313
       1 |                          6992


Timestep | Average Force (N)
----------------------------
       925 |                     47
       926 |                     46
       927 |                     41
       928 |                     44
       929 |                     43
       930 |                     52
       931 |                     44
       932 |                     47
       933 |                     49
       934 |                     44
       935 |                     43
       936 |                     43
       937 |                     44
       938 |                     51
       939 |                     46
       940 |                     81
       941 |                     46
       942 |                     44
       943 |                     44
       944 |                     44
       945 |                     44
       946 |                     51
       947 |                     46
       948 |                     51
       949 |                     51
       950 |                     45
       951 |                     47
       952 |                     44
       953 |                     42
       954 |                     54
       955 |                     48
       956 |                    170
       957 |                     83
       958 |                     73
       959 |                     65
       960 |                    102
       961 |                     75
       962 |                     63
       963 |                     50
       964 |                     49
       965 |                     47
       966 |                     47
       967 |                     46
       968 |                     43
       969 |                     49
       970 |                    135
       971 |                     55
       972 |                     45
       973 |                     45
       974 |                     46
       975 |                     44
       976 |                     51
       977 |                     79
       978 |                     51
       979 |                     43
       980 |                     78
       981 |                     51
       982 |                     54
       983 |                     52
       984 |                     49
       985 |                     43
       986 |                     45
       987 |                     49
       988 |                    108
       989 |                     49
       990 |                     63
       991 |                     47
       992 |                     71
       993 |                     53
       994 |                     67
       995 |                     61
       996 |                     55
       997 |                     58
       998 |                     51
       999 |                     55
      1000 |                    100
      1001 |                     55
      1002 |                     57
      1003 |                     67
      1004 |                     51
      1005 |                     51
      1006 |                     48
      1007 |                     46
      1008 |                     51
      1009 |                     45
      1010 |                     51
      1011 |                     51
      1012 |                     49
      1013 |                     60
      1014 |                     61
      1015 |                     55
      1016 |                     58
      1017 |                     78
      1018 |                     56
      1019 |                     58
      1020 |                     95
      1021 |                     51
      1022 |                     52
      1023 |                     67
      1024 |                     64
      1025 |                     49
      1026 |                     83
      1027 |                     59
      1028 |                     56
      1029 |                     55
      1030 |                     59
      1031 |                     49
      1032 |                     48
      1033 |                     93
      1034 |                     62
      1035 |                     49
      1036 |                     47
      1037 |                     46
      1038 |                     50
      1039 |                     47
      1040 |                     84
      1041 |                     47
      1042 |                     45
      1043 |                     44
      1044 |                     45
      1045 |                     44
      1046 |                     42
      1047 |                     44
      1048 |                     49
      1049 |                     43
      1050 |                     44
      1051 |                     45
      1052 |                     45
      1053 |                     51
      1054 |                     75
      1055 |                     57
      1056 |                     65
      1057 |                     47
      1058 |                     59
      1059 |                     53
      1060 |                     95
      1061 |                     50
      1062 |                     53
      1063 |                     48
      1064 |                     52
      1065 |                     45
      1066 |                     47
      1067 |                     45
      1068 |                     46
      1069 |                     44
      1070 |                     96
      1071 |                     52
      1072 |                     49
      1073 |                     51
      1074 |                     45
      1075 |                     48
      1076 |                     46
      1077 |                     49
      1078 |                     48
      1079 |                     48
      1080 |                     81
      1081 |                     44
      1082 |                     44
      1083 |                     43
      1084 |                     44
      1085 |                     43
      1086 |                     48
      1087 |                     48
      1088 |                     44
      1089 |                     45
      1090 |                     71
      1091 |                     50
      1092 |                     55
      1093 |                     87
      1094 |                     60
      1095 |                     47
      1096 |                     53
      1097 |                     49
      1098 |                     49
      1099 |                     51
      1100 |                     72
      1101 |                     74
      1102 |                     45
      1103 |                     49
      1104 |                     67
      1105 |                     44
      1106 |                     71
      1107 |                     46
      1108 |                     47
      1109 |                     58
      1110 |                     47
      1111 |                     44
      1112 |                     58
      1113 |                     65
      1114 |                     48
      1115 |                     47
      1116 |                     44
      1117 |                     45
      1118 |                     47
      1119 |                     45
      1120 |                     65
      1121 |                     49
      1122 |                     77
      1123 |                     49
      1124 |                     45
      1125 |                     44
      1126 |                     44
      1127 |                     42
      1128 |                     43
      1129 |                     45
      1130 |                     56
      1131 |                     49
      1132 |                     49
      1133 |                     44
      1134 |                     43
      1135 |                     58
      1136 |                     52
      1137 |                     45
